Country,HS_Code,Risk_Score,Drop_Months
Australia,17,5.4,2020-02;2020-04;2020-11;2021-02;2021-06;2022-03;2022-05;2022-07;2022-11;2023-02;2023-12;2024-04;2024-05;2024-06;2024-07;2025-03;2025-06;2025-08
Australia,26,2.2,
Australia,27,2.6,
Australia,31,8.0,2020-02;2020-04;2020-05;2020-07;2020-08;2020-09;2021-01;2021-10;2022-03;2022-04;2022-08;2022-11;2022-12;2023-01;2023-08;2023-09;2023-10;2024-03;2024-04;2024-05;2024-06;2025-02;2025-03;2025-06;2025-09;2026-01
Australia,39,4.6,2020-01;2020-04;2020-05;2020-07;2020-10;2020-11;2020-12;2021-01;2021-02;2021-04;2021-08;2022-06;2023-05;2023-12;2024-03;2025-06;2025-08
Australia,44,6.8,2020-02;2020-08;2022-03;2022-04;2022-06;2022-07;2022-08;2022-09;2022-10;2022-11;2022-12;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12;2024-01;2024-02;2025-01;2025-05;2025-07;2025-10;2025-12
Australia,72,5.9,2020-04;2020-05;2020-10;2020-12;2021-01;2021-07;2021-11;2022-09;2023-01;2023-03;2023-04;2023-05;2023-06;2023-12;2024-01;2024-02;2024-09;2024-10;2024-11;2024-12;2025-03;2025-07
Australia,76,3.4,2021-09;2021-12;2022-02
Australia,84,4.9,2020-02;2020-11;2021-12;2022-04;2022-11;2023-01;2023-05;2023-08;2023-09;2023-12;2024-01;2024-02;2024-03;2024-12;2025-07;2025-09;2025-11;2026-02;2026-03
Austria,9,7.7,2020-04;2020-09;2020-10;2020-12;2021-01;2021-03;2021-05;2021-07;2021-08;2021-10;2022-03;2022-08;2022-09;2022-11;2022-12;2023-02;2023-05;2023-07;2023-10;2023-11;2024-01;2024-03;2024-06;2024-09;2025-02;2025-03;2025-07;2025-09;2025-11;2026-01
Austria,11,8.2,2020-03;2020-04;2020-05;2020-11;2020-12;2021-01;2021-03;2021-04;2021-06;2021-09;2021-12;2022-02;2022-04;2022-05;2022-06;2022-07;2022-08;2022-10;2022-11;2023-05;2023-06;2023-08;2023-09;2025-07;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02;2026-03
Austria,17,6.2,2020-03;2021-02;2021-06;2021-07;2021-10;2021-11;2021-12;2022-04;2022-10;2022-12;2023-01;2023-02;2023-07;2023-09;2023-11;2024-03;2024-06;2024-08;2024-11;2025-01
Austria,27,9.0,2020-04;2020-06;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-07;2021-08;2022-01;2022-02;2022-03;2022-04;2022-05;2022-06;2022-10;2022-11;2023-07;2023-08;2023-12;2024-02;2024-05;2024-06;2024-09;2024-10;2024-12;2025-01;2025-03;2025-04;2025-05;2026-03
Austria,31,9.7,2020-03;2020-05;2020-07;2020-10;2020-11;2020-12;2021-02;2021-03;2021-06;2021-07;2021-08;2022-01;2022-09;2022-12;2023-03;2023-11;2024-02;2024-04;2025-03;2025-05;2026-01
Austria,39,3.8,2020-04;2020-05;2023-01;2024-01;2024-07;2025-08
Austria,44,4.2,2020-10;2022-06;2022-07;2022-08;2022-11;2023-02;2023-04;2023-05;2024-01;2024-09;2025-05;2025-11;2026-02
Austria,72,6.3,2020-05;2020-06;2021-01;2021-02;2021-03;2021-04;2021-06;2021-07;2021-10;2021-11;2022-08;2022-09;2022-12;2023-01;2023-03;2023-08;2023-11;2023-12;2024-05;2025-04;2025-05;2025-07;2025-10;2025-12;2026-02
Austria,76,4.4,2021-06;2021-07;2022-12;2023-03;2023-04;2024-02;2024-06;2025-08;2025-09;2025-11
Austria,84,4.2,2020-04;2021-02;2021-03;2021-05;2021-08;2021-12;2022-01;2022-02;2022-10;2023-08;2023-11;2024-01;2024-03
Austria,93,7.1,2020-01;2020-05;2020-06;2020-09;2021-01;2021-02;2021-04;2021-07;2021-11;2022-01;2022-03;2022-09;2022-12;2023-08;2023-10;2024-06;2024-07;2024-08;2024-09;2025-01;2025-02;2025-03;2025-05;2025-11;2025-12
Azerbaijan,39,10.0,2020-07;2021-05;2021-12;2022-02;2022-03;2023-01;2023-04;2023-12;2024-03;2024-09;2024-10
Azerbaijan,84,9.6,2020-01;2020-02;2020-03;2020-09;2020-11;2021-06;2021-07;2021-08;2021-10;2021-12;2022-09;2022-12;2023-03;2023-05;2023-06;2023-07;2023-10;2024-07;2024-08;2024-10;2025-01;2025-03;2025-04;2025-09;2026-01
Bahamas,27,9.4,2021-01;2021-11;2022-03;2022-05;2022-09;2022-12;2023-01;2023-02;2023-06;2023-08;2025-04;2025-06;2025-09;2025-10;2025-11
Bahamas,84,8.8,2020-04;2020-08;2020-10;2021-02;2021-06;2021-09;2021-11;2022-02;2022-03;2022-05;2022-07;2022-10;2023-01;2023-03;2023-04;2023-08;2023-09;2023-11;2023-12;2024-03;2024-04;2024-06;2024-09;2024-10;2024-11;2024-12;2025-07;2025-11;2026-02
Bahrain,26,9.7,2021-03;2021-06;2021-12;2022-07;2022-10;2022-11;2023-02;2023-03;2023-08;2023-12;2024-01;2024-04;2024-05;2024-06;2024-09;2024-11;2025-07
Bahrain,27,8.5,2020-04;2020-05;2020-06;2020-08;2020-11;2021-02;2021-03;2021-04;2021-05;2021-09;2021-10;2022-03;2022-11;2022-12;2023-01;2023-02;2023-04;2023-05;2023-06;2023-07;2023-08;2023-12;2024-03;2024-09;2024-10;2024-11;2025-04;2025-12
Bahrain,39,6.9,2020-01;2020-03;2020-05;2022-02;2022-03;2022-04;2022-08;2022-09;2022-10;2022-11;2022-12;2023-01;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-12;2024-04;2024-06;2025-07
Bahrain,72,9.3,2020-01;2020-02;2020-03;2020-05;2020-07;2020-11;2021-04;2021-06;2021-08;2021-09;2021-10;2022-01;2022-02;2022-04;2022-07;2022-12;2023-03;2023-04;2023-05;2023-06;2023-08;2023-11;2023-12;2024-03;2024-07;2024-10;2025-02;2025-04;2025-05;2025-09;2025-12
Bahrain,76,3.9,2020-09;2025-07;2025-10;2025-11;2026-02;2026-03
Bahrain,84,9.5,2020-02;2020-03;2020-05;2020-06;2021-01;2021-02;2021-06;2021-07;2021-08;2021-12;2022-01;2022-03;2022-05;2022-09;2022-10;2022-11;2023-04;2023-07;2023-12;2024-01;2024-02;2024-05;2024-09;2025-07;2025-08;2025-10;2025-11;2025-12;2026-02
Bangladesh,9,7.2,2020-06;2020-07;2020-11;2021-02;2021-08;2022-01;2022-03;2022-04;2022-07;2022-09;2022-10;2022-12;2023-02;2024-04;2024-11;2024-12;2025-03;2025-06;2025-08;2025-09;2025-10;2026-01;2026-02
Bangladesh,11,10.0,2024-05;2024-10;2024-11;2025-01;2025-02;2025-07;2026-03
Bangladesh,17,10.0,2020-06;2021-03;2022-05;2022-08;2022-12;2023-06;2024-04;2024-07;2025-02;2026-01
Bangladesh,26,7.9,2020-04;2020-05;2020-06;2020-07;2020-08;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-06;2021-09;2022-02;2022-12;2023-01;2023-03;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2024-02;2024-06;2024-08;2024-12;2025-03;2025-04;2025-06;2025-08;2025-10;2025-11;2026-01;2026-02
Bangladesh,27,9.5,2021-08;2022-03;2022-12;2023-01;2023-02;2023-04;2023-07;2024-05;2024-10;2025-09;2025-12
Bangladesh,39,6.3,2020-01;2020-06;2021-02;2021-03;2021-04;2021-08;2021-11;2022-06;2022-07;2022-09;2022-10;2022-12;2023-12;2024-05;2024-06;2024-08;2024-10;2024-11;2025-04;2025-11;2026-01;2026-02;2026-03
Bangladesh,44,9.4,2021-08;2021-11;2022-03;2022-04;2022-07;2022-09;2022-10;2023-07;2023-08;2023-12;2024-03;2024-04;2024-05;2024-08;2024-09;2025-01;2025-02;2025-10;2025-12;2026-03
Bangladesh,72,9.6,2020-07;2020-08;2020-09;2020-10;2020-11;2021-01;2021-03;2022-06;2022-10;2022-12;2023-04;2023-07;2024-02;2024-09;2024-10;2024-11;2025-02;2025-04;2025-05;2025-07
Bangladesh,76,9.6,2020-03;2020-04;2020-05;2020-06;2021-02;2021-08;2021-09;2022-03;2022-06;2022-07;2022-09;2022-10;2022-12;2023-03;2023-04;2023-12;2024-01;2024-06;2024-07;2024-09;2025-06;2025-07;2025-08;2025-09;2025-12;2026-01;2026-02
Bangladesh,84,7.8,2020-02;2020-03;2020-06;2020-07;2020-08;2020-09;2020-11;2021-01;2022-02;2022-03;2022-06;2022-08;2022-12;2023-04;2023-05;2023-09;2023-10;2024-03;2024-06;2024-12;2025-01;2025-04;2025-05;2025-07;2025-08;2025-09;2025-11;2026-02;2026-03
Belarus,11,9.5,2021-02;2021-09;2022-03;2024-05;2024-07;2024-11;2025-01;2025-06
Belarus,31,8.1,2020-01;2020-08;2020-10;2021-09;2021-12;2022-01;2022-02;2022-03;2022-04;2022-05;2022-06;2022-07;2022-08;2022-10;2022-11;2022-12
Belarus,39,9.3,2020-01;2020-03;2020-04;2020-06;2020-08;2020-10;2020-11;2021-02;2021-11;2021-12;2022-04;2022-05;2022-08;2022-09;2022-10;2023-01;2023-02;2023-04;2023-05;2023-06;2023-07;2024-02;2024-03;2024-10;2024-11;2024-12;2025-01;2025-08
Belarus,44,8.1,2020-01;2020-02;2021-02;2021-04;2021-05;2021-06;2021-07;2021-08;2021-09;2021-10;2021-11;2021-12;2022-01;2022-02;2022-03;2022-09;2022-10;2022-11;2022-12;2023-04;2023-05;2023-06;2025-11;2025-12;2026-01;2026-02
Belarus,72,9.3,2020-01;2020-02;2020-03;2020-04;2020-05;2021-06;2021-09;2021-11;2021-12;2022-03;2022-05;2022-07;2022-08
Belarus,76,10.0,2020-03;2020-10;2022-01;2022-05;2022-06;2022-07;2022-08;2022-09;2022-11;2022-12;2023-02;2023-03;2023-10;2025-06
Belarus,84,8.3,2020-05;2020-09;2021-01;2021-03;2021-07;2021-08;2021-12;2022-04;2022-05;2022-08;2022-09;2022-10;2022-11;2023-01;2023-02;2023-03;2023-12;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01
Belgium,9,7.7,2020-01;2020-06;2020-11;2021-05;2021-09;2021-12;2022-01;2022-04;2022-05;2022-09;2022-11;2022-12;2023-02;2023-07;2023-08;2023-11;2024-01;2024-02;2024-03;2024-06;2024-08;2024-09;2024-12;2025-02;2025-04;2025-05;2025-10;2025-11;2026-01;2026-03
