Country,HS_Code,Risk_Score,Drop_Months
Estonia,39,7.6,2020-01;2020-02;2020-04;2020-05;2020-06;2020-07;2020-08;2020-12;2021-01;2021-03;2021-07;2021-08;2021-09;2022-01;2022-02;2022-04;2022-09;2022-11;2022-12;2023-05;2023-06;2023-10;2024-07;2024-12;2025-02;2025-04;2025-06;2025-08;2025-09;2025-11;2026-02;2026-03
Estonia,44,3.4,2022-03;2024-07;2026-02
Estonia,72,9.3,2020-01;2020-02;2020-03;2020-07;2021-04;2021-05;2021-06;2022-01;2022-02;2022-03;2022-06;2022-10;2023-03;2023-05;2023-06;2023-12;2024-07;2024-08;2024-09;2024-10;2024-11;2026-01;2026-02
Estonia,76,10.0,2020-05;2020-07;2021-01;2021-08;2021-10;2022-07;2022-09;2022-11;2022-12;2023-01;2023-04;2023-06;2023-11;2025-01;2025-02;2025-03;2025-05
Estonia,84,5.8,2020-02;2020-06;2020-08;2020-09;2020-12;2021-01;2021-03;2021-10;2021-11;2022-01;2022-04;2022-05;2022-06;2022-07;2022-08;2022-10;2022-12;2023-02;2023-03;2023-09;2024-01;2024-03;2024-05;2025-02;2025-04
Ethiopia,9,3.2,2023-04
Ethiopia,11,9.8,2020-04;2022-01;2022-02;2022-08;2022-12;2023-01;2023-03;2023-04;2025-04;2025-07;2025-09
Ethiopia,84,9.8,2020-04;2021-04;2021-12;2022-02;2022-09;2023-06;2024-02;2024-05;2025-04;2026-03
Fiji,17,9.3,2020-04;2020-05;2020-06;2020-10;2021-01;2021-02;2021-03;2021-08;2021-09;2022-02;2022-11;2022-12;2025-03;2025-09;2025-10;2025-11;2025-12
Fiji,39,9.6,2020-03;2020-06;2020-07;2020-08;2020-09;2020-10;2020-12;2021-01;2021-03;2021-09;2021-11;2022-08;2023-06;2023-07;2024-10;2025-04;2025-06
Fiji,44,8.9,2021-02;2021-03;2021-07;2021-09;2021-10;2021-11;2022-02;2022-03;2022-04;2022-06;2022-07;2022-10;2022-11;2022-12;2023-01;2023-05;2024-02;2024-05;2024-06
Fiji,72,8.0,2020-01;2020-02;2020-03;2020-04;2020-05;2020-06;2020-08;2020-10;2020-12;2021-01;2021-03;2021-04;2021-05;2021-07;2021-08;2021-09;2021-12;2022-11;2023-02;2023-04;2023-06;2023-08;2023-09;2023-11;2023-12;2024-02;2024-03;2024-05;2024-06;2024-10;2025-07;2025-08;2025-09;2026-02;2026-03
Fiji,76,7.3,2020-06;2020-08;2020-10;2020-12;2021-01;2021-03;2021-07;2021-11;2022-02;2022-04;2022-06;2022-09;2023-02;2023-05;2023-06;2023-09;2023-10;2023-11;2024-11;2025-01;2025-03;2025-07;2025-09;2025-12
Fiji,84,10.0,2020-09;2021-06;2022-01;2022-09;2022-10;2023-03;2023-04;2023-05;2023-06;2023-07;2025-06;2025-10
Finland,9,7.7,2020-01;2020-02;2020-03;2020-04;2021-03;2021-07;2021-11;2022-01;2022-02;2022-04;2022-06;2022-08;2022-10;2023-03;2023-05;2023-07;2023-08;2023-12;2024-01;2024-02;2025-11
Finland,11,6.5,2021-01;2021-03;2021-06;2021-11;2022-08;2022-09;2022-10;2023-01;2023-02;2023-04;2023-06;2023-07;2023-12;2024-01;2024-03;2024-05;2024-06;2025-02;2025-05;2025-08;2025-12
Finland,17,5.8,2020-01;2020-02;2020-10;2022-02;2022-06;2023-03;2023-07;2023-08;2023-10;2023-11;2023-12;2024-02;2024-04;2024-06;2024-09;2025-03;2025-05;2025-07;2025-09;2026-02;2026-03
Finland,27,9.7,2020-06;2020-07;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-05;2021-07;2021-08;2021-11;2022-04;2022-10;2022-12;2023-02;2024-01;2024-03;2024-05;2024-06;2024-07;2024-08;2024-09;2024-11;2024-12;2025-03;2025-04;2025-06;2025-09;2025-10
Finland,31,9.4,2020-02;2020-04;2021-02;2021-11;2022-11;2023-04;2023-07;2023-08;2023-09;2023-10;2024-03;2024-04;2025-01;2025-06;2025-08;2025-09;2025-11;2026-03
Finland,39,5.0,2020-01;2020-11;2021-04;2021-06;2021-10;2022-09;2023-01;2023-02;2023-03;2023-07;2023-08;2023-10;2023-11;2024-03;2024-05;2024-06;2024-09
Finland,44,3.2,2022-06;2024-05;2024-11
Finland,72,4.9,2020-01;2020-05;2021-07;2021-10;2022-06;2022-07;2022-08;2023-01;2023-04;2023-09;2023-12;2024-01;2025-02;2025-06;2025-07;2025-12;2026-01
Finland,76,7.7,2020-01;2020-03;2020-06;2020-08;2020-10;2021-02;2021-04;2021-06;2021-09;2021-12;2022-07;2023-04;2023-08;2023-12;2024-01;2024-02;2024-05;2024-09;2024-11;2025-03;2025-08;2025-10;2026-01;2026-03
Finland,84,5.2,2020-03;2020-09;2020-12;2021-01;2021-02;2021-04;2021-06;2021-10;2021-11;2023-01;2023-02;2023-06;2023-11;2023-12;2024-02;2024-05;2024-06;2026-02
Finland,93,9.6,2020-03;2020-10;2021-05;2021-09;2022-06;2022-09;2022-11;2023-07;2023-10;2024-03;2024-04;2024-09;2025-03;2025-05;2025-07;2025-08;2025-12;2026-02
France,9,4.1,2020-02;2020-06;2023-12;2025-04;2025-08;2025-10;2026-02
France,10,7.0,2020-02;2020-03;2020-04;2020-06;2020-07;2021-08;2021-09;2021-11;2021-12;2022-07;2022-10;2023-05;2023-06;2023-11;2024-01;2024-03;2024-08;2024-09;2024-11;2025-03;2025-04;2025-08;2025-12;2026-02
France,11,3.5,2021-06;2021-09
France,17,4.0,2020-05;2020-06;2020-08;2020-10;2020-12;2021-09;2021-11;2022-12;2023-05;2024-03;2024-08
France,26,7.4,2020-01;2020-03;2020-05;2020-07;2020-08;2021-04;2021-08;2021-11;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12;2024-01;2025-09;2025-12;2026-01
France,27,4.6,2020-01;2020-03;2020-04;2020-05;2020-06;2020-07;2020-08;2020-11;2020-12;2021-04;2021-06;2021-09;2022-01;2022-02;2022-07;2024-01;2024-11;2025-04;2026-02
France,31,8.6,2020-02;2020-03;2020-09;2020-10;2021-07;2021-08;2021-10;2022-01;2022-04;2022-05;2022-11;2022-12;2023-02;2023-07;2023-08;2023-09;2023-10;2023-12;2024-02;2024-04;2024-10;2025-01;2025-02;2025-05;2025-07;2025-11;2025-12
France,39,3.3,2020-10;2022-08;2025-05
France,44,6.1,2020-01;2020-05;2020-07;2020-11;2020-12;2021-02;2021-04;2021-07;2021-08;2022-03;2022-09;2022-12;2023-01;2023-08;2024-01;2024-02;2024-04;2024-05;2024-06;2024-10;2025-04;2025-12
France,72,4.7,2020-08;2021-02;2021-03;2021-04;2021-05;2021-06;2021-07;2021-09;2021-10;2021-11;2022-04;2023-07;2023-10
France,76,3.2,2021-03;2024-01
France,84,3.2,2023-09;2023-10;2023-11;2024-06
France,93,8.4,2020-01;2020-02;2020-06;2020-07;2020-08;2020-11;2020-12;2021-03;2021-04;2021-07;2021-10;2022-05;2022-06;2022-07;2022-09;2022-10;2022-11;2022-12;2023-02;2023-03;2023-04;2023-05;2023-08;2023-09;2024-04;2024-05;2024-10;2024-11;2025-01;2025-03;2025-06;2025-09;2025-10;2025-11;2025-12
French Polynesia,9,7.9,2020-08;2024-07;2025-07;2025-11
French Polynesia,39,8.5,2020-04;2024-08;2024-09;2024-11;2024-12;2025-01;2025-02;2025-04;2025-05;2025-07;2025-10;2026-01;2026-03
French Polynesia,76,9.4,2021-08;2022-01;2022-06;2022-10;2023-02;2023-05;2024-01;2024-04;2024-08;2025-09
Gabon,26,9.2,2020-03;2020-08;2021-02;2021-12;2022-01;2022-03;2022-06;2022-10;2023-02;2024-02;2024-09;2025-03;2025-04;2025-08;2025-11
Gabon,27,9.5,2020-02;2020-04;2020-06;2020-11;2020-12;2021-03;2021-09;2022-06;2022-08;2022-10;2022-11;2022-12;2023-01;2023-02;2023-04;2023-05;2023-07;2024-03
Gabon,44,6.5,2021-07;2021-08;2021-11;2022-01;2022-02;2022-04;2022-06;2023-10;2023-11;2024-01;2024-02;2024-03;2024-04;2024-05;2024-07;2024-08;2024-09;2024-10;2024-11;2024-12;2025-05;2026-01;2026-02
Gambia,84,10.0,2020-05;2020-07;2020-09;2021-01;2021-04;2021-06;2021-11;2022-05;2022-10;2023-02;2024-05
Georgia,39,9.3,2020-12;2021-01;2021-09;2022-02;2022-03;2023-02;2023-08;2023-10;2023-12;2024-06;2024-11;2025-01;2025-02;2025-04;2025-05;2025-07;2025-08;2025-09;2025-10;2025-12;2026-03
Georgia,76,9.1,2020-02;2020-04;2022-03;2022-09;2022-12;2023-02;2025-04
Georgia,84,8.5,2020-02;2020-03;2020-04;2020-05;2020-06;2020-07;2020-08;2020-10;2021-03;2021-04;2021-06;2021-09;2021-10;2021-11;2021-12;2022-03;2022-07;2022-08;2022-11;2023-02;2023-04;2023-06;2023-09;2023-12;2024-01;2024-08;2024-09;2024-10;2024-11;2025-01;2025-04;2025-06;2025-10;2025-11;2025-12;2026-02
Germany,9,4.9,2020-03;2020-06;2020-10;2021-02;2021-05;2021-12;2022-06;2022-09;2023-02;2023-03;2023-04;2023-12;2024-06;2025-03;2025-04
Germany,10,8.7,2020-01;2020-02;2020-04;2020-08;2020-09;2020-10;2021-02;2021-03;2021-05;2021-06;2021-07;2022-01;2022-02;2022-04;2022-11;2023-03;2023-05;2023-06;2023-07;2023-08;2024-01;2024-03;2024-05;2024-06;2025-02;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-01;2026-02
Germany,11,3.4,2022-11;2024-03;2025-08;2025-11
Germany,17,3.1,2021-06
Germany,26,8.4,2020-01;2020-04;2020-06;2020-11;2021-03;2021-06;2021-07;2021-09;2021-12;2022-03;2022-04;2022-05;2022-08;2022-10;2023-01;2023-02;2023-07;2023-08;2023-11;2023-12;2024-03;2024-05;2024-09;2025-01;2025-02;2025-03;2025-04;2025-06;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12
Germany,27,5.7,2020-06;2020-11;2020-12;2021-01;2021-04;2021-06;2021-07;2021-08;2021-10;2022-02;2022-03;2022-05;2022-10;2023-01;2023-08;2023-11;2024-03;2024-07;2024-10;2025-04;2025-08;2026-02
Germany,31,4.1,2022-06;2022-08;2022-11;2023-01;2023-10;2024-11;2025-09
Germany,39,2.7,
Germany,44,4.0,2023-05;2023-08;2025-01;2025-05;2025-07;2025-08;2025-09;2025-10;2025-11;2025-12;2026-02;2026-03
Germany,72,4.0,2020-04;2020-08;2020-09;2020-11;2021-02;2021-06;2022-12;2023-01;2023-07;2023-10;2024-03;2024-04;2025-06
Germany,76,4.5,2020-01;2020-04;2020-06;2020-07;2020-08;2020-09;2020-10;2022-06;2022-11;2022-12;2023-01;2023-03;2023-04;2025-08;2025-09;2025-10;2025-11;2025-12
Germany,84,2.2,
Germany,93,7.1,2020-05;2020-07;2020-08;2021-01;2021-02;2021-04;2021-05;2021-06;2021-09;2021-10;2021-12;2022-01;2022-02;2022-03;2022-06;2022-07;2022-08;2022-11;2024-03;2024-04;2024-05;2024-06;2024-09;2024-12;2025-01;2025-04;2025-07;2025-08;2025-10;2026-02
Ghana,9,9.9,2022-03;2022-06;2022-11;2023-07;2023-12;2024-07;2025-06;2025-10;2026-01
Ghana,11,9.7,2020-06;2022-06;2022-08;2023-03;2023-12;2024-04;2024-09;2024-11;2024-12;2025-03;2025-08
Ghana,44,9.2,2020-04;2020-05;2021-07;2021-09;2021-10;2021-11;2021-12;2022-01;2022-05;2022-08;2023-02;2023-03;2023-04;2023-06;2023-12;2024-03;2024-06;2024-07;2024-08;2024-10;2024-11;2025-01;2025-04;2025-05;2025-10
Ghana,76,6.6,2020-01;2020-04;2020-05;2021-03;2021-08;2021-10;2022-01;2022-02;2022-04;2022-11;2023-04;2023-09;2025-08
Ghana,84,8.5,2020-05;2020-06;2020-07;2020-10;2020-11;2020-12;2021-02;2021-04;2021-09;2021-11;2022-02;2022-03;2022-06;2022-10;2022-12;2023-04;2023-05;2023-07;2023-08;2023-09;2023-11;2024-02;2024-06;2024-07;2024-08;2024-09;2024-10;2024-12;2025-01;2025-03;2025-05;2026-01;2026-03
Gibraltar,84,9.3,2020-01;2021-03;2021-04;2021-05;2021-08;2021-12;2022-03;2022-09;2022-10;2023-04;2023-06;2023-11;2023-12;2024-01;2024-05;2024-07;2025-03;2025-05;2025-08;2025-09;2025-10;2025-12;2026-02
Greece,9,9.2,2020-08;2021-05;2021-06;2021-07;2021-09;2022-01;2022-04;2022-05;2022-06;2022-08;2022-11;2022-12;2023-03;2023-04;2023-10;2023-11;2024-02;2024-06;2024-07;2024-08;2024-12;2025-01;2025-07;2025-09;2025-10;2026-01;2026-02
Greece,17,8.1,2020-03;2020-08;2021-04;2021-05;2021-06;2021-11;2022-02;2022-04;2022-07;2022-09;2022-10;2022-11;2023-02;2023-03;2023-08;2023-12;2024-04;2024-05;2025-09;2025-10;2025-11;2026-01;2026-02
Greece,26,8.8,2020-01;2020-02;2020-07;2021-04;2021-05;2021-06;2021-09;2021-12;2022-01;2022-02;2022-03;2022-07;2022-08;2023-11;2024-04;2024-05;2024-11;2025-01;2025-03;2025-08;2025-09;2025-10
Greece,27,7.4,2020-04;2021-02;2022-02;2022-03;2022-04;2022-05;2022-06;2022-09;2023-07;2023-08;2023-10;2024-02;2024-10;2024-11;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-12
Greece,31,9.4,2020-02;2020-04;2020-07;2020-10;2020-11;2020-12;2021-01;2021-03;2021-04;2021-07;2021-08;2021-09;2021-10;2022-02;2022-04;2022-05;2022-09;2023-01;2023-03;2023-08;2024-01;2024-03;2024-05;2025-04;2025-06;2025-08;2025-12
Greece,39,7.7,2020-01;2020-02;2020-04;2020-11;2020-12;2021-05;2021-06;2021-07;2021-09;2022-04;2022-06;2022-07;2022-08;2022-09;2022-10;2022-11;2023-02;2023-03;2023-12;2024-01;2024-03;2024-05;2024-06;2024-07;2024-11;2024-12;2025-02;2025-04;2025-05;2025-07;2025-09;2026-03
Greece,44,9.5,2020-05;2020-07;2020-12;2021-10;2021-11;2022-01;2022-03;2022-04;2022-06;2022-09;2022-10;2022-11;2023-09;2023-10;2023-11;2023-12;2024-02;2024-04;2024-05;2024-07;2025-01;2025-06;2025-12;2026-01;2026-03
Greece,72,9.0,2020-01;2020-02;2020-03;2020-04;2020-05;2020-06;2020-07;2020-08;2020-10;2020-12;2021-05;2021-06;2022-04;2022-09;2022-10;2022-12;2023-01;2023-03;2023-07;2023-08;2023-10;2023-11;2024-02;2024-04;2024-05;2024-08;2025-10;2025-11
Greece,76,7.4,2020-01;2020-03;2020-04;2020-07;2020-08;2020-09;2020-10;2021-05;2021-09;2021-11;2021-12;2022-03;2022-04;2022-05;2022-06;2022-10;2022-11;2023-01;2024-01;2024-04;2024-08;2025-03;2025-05;2025-06;2025-11;2026-02;2026-03
Greece,84,5.5,2020-01;2020-02;2020-05;2020-11;2021-03;2021-05;2021-08;2022-10;2023-06;2023-07;2023-10;2023-12;2024-01;2024-04;2024-06;2024-08;2024-09;2025-02;2025-05;2025-07;2025-08
Guam,27,4.8,2020-04;2020-05;2020-07;2021-01;2021-11;2022-04;2022-07;2022-10;2023-06;2023-11;2024-04;2024-05;2024-09
Guam,39,10.0,2021-01;2021-02;2021-04;2021-05;2021-09;2022-03;2022-07;2022-08;2022-11;2025-03
Guam,72,4.2,2020-08;2020-09;2022-10;2022-12;2024-02;2024-03;2024-05;2024-07
Guam,76,7.4,2020-01;2020-02;2020-03;2020-04;2020-05;2020-06;2020-09;2020-10;2020-12;2021-01;2021-02;2021-04;2021-05;2021-07;2021-10;2021-11;2022-01;2022-03;2022-12;2023-02;2023-05;2023-08;2023-10;2025-01;2025-02;2025-03;2025-07;2025-08
Guam,84,9.3,2020-04;2020-05;2020-06;2020-07;2020-08;2020-10;2020-11;2020-12;2021-01;2021-02;2021-03;2021-04;2021-09;2022-03;2022-06;2022-07;2022-08;2022-11;2022-12;2023-01;2023-05;2023-06;2023-07;2023-08;2024-01;2024-04;2024-06;2024-08;2025-03;2025-05;2025-08;2025-10;2026-02;2026-03
Guatemala,9,3.1,2022-06;2024-03;2025-11;2025-12
Guatemala,17,9.4,2020-01;2020-05;2020-11;2021-08;2021-09;2021-10;2021-12;2022-01;2022-02;2022-03;2022-04;2022-05;2022-06;2022-08;2022-11;2023-02;2023-05;2023-07;2024-05;2025-03;2025-04;2025-06;2025-07;2025-08;2025-09
Guatemala,39,9.3,2020-01;2020-04;2020-05;2020-08;2020-11;2021-02;2021-03;2021-10;2022-05;2022-11;2023-01;2023-08;2023-12;2024-01;2024-02;2024-03;2024-06;2024-07;2024-12;2025-02;2025-03;2025-04;2025-05;2025-06
Guatemala,72,7.7,2020-06;2020-07;2023-06;2023-08;2023-11;2023-12;2024-01;2024-02;2024-03;2024-04;2024-07;2024-09;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-05;2025-06;2025-07;2025-08;2025-09;2025-10
Guatemala,76,4.6,2020-04;2021-01;2022-01;2022-08;2022-10;2023-04;2023-06;2023-07;2023-10;2023-11;2023-12;2024-05;2025-01;2026-01;2026-03
Guatemala,84,9.8,2020-01;2020-04;2020-05;2020-06;2020-10;2020-11;2021-07;2021-09;2022-02;2022-06;2022-10;2022-11;2023-02;2023-03;2023-07;2023-08;2023-09;2024-12;2025-01;2025-02;2025-05;2025-06;2025-09;2025-10;2025-11;2026-01;2026-03
Guinea,9,10.0,2020-10;2021-03;2021-04;2021-11;2022-07;2022-08;2022-09;2023-05;2026-02;2026-03
Guinea,76,7.6,2020-02;2020-03;2020-04;2020-05;2020-06;2020-07;2020-12;2021-09;2022-05;2022-11;2024-01;2024-03;2024-04;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-12;2025-02;2025-03;2025-04;2025-07;2025-11;2026-01;2026-02
Guinea,84,9.7,2020-06;2022-01;2022-04;2022-07;2022-08;2024-04;2024-09;2024-10;2024-11;2025-03;2025-05
Guyana,44,10.0,2021-01;2021-02;2021-05;2022-06;2022-07;2022-11;2022-12;2023-03;2025-03
Guyana,84,9.1,2020-04;2021-09;2022-07;2022-08;2022-09;2022-10;2023-04;2023-06;2023-11;2024-01;2024-09;2025-06;2025-07;2025-08;2026-01;2026-02
Haiti,76,7.9,2020-01;2020-02;2020-03;2020-05;2020-06;2020-07;2020-11;2020-12;2021-08;2021-10;2021-12;2022-01;2022-03;2022-05;2022-11;2023-04;2024-02;2024-07;2024-08;2024-11;2025-02;2025-03;2025-04
Honduras,9,5.7,2020-09;2020-11;2020-12;2021-01;2022-04;2022-06;2022-10;2022-11;2023-02;2023-03;2023-04;2023-05;2023-11;2023-12;2024-08;2024-09;2024-10;2025-01;2025-02;2025-11;2026-01;2026-02;2026-03
Honduras,26,8.7,2020-06;2021-05;2022-04;2022-06;2023-11;2023-12;2024-10;2025-02
Honduras,39,8.5,2020-05;2020-09;2020-10;2020-11;2021-01;2021-02;2021-03;2021-07;2021-08;2022-01;2022-02;2022-03;2022-05;2023-07;2023-09;2024-04;2024-05;2024-10;2024-11;2025-01;2025-06;2025-11;2025-12;2026-02
Honduras,76,6.7,2020-02;2020-06;2020-07;2020-08;2020-10;2021-08;2021-12;2022-01;2022-02;2022-09;2023-11;2024-05;2024-07;2024-08;2024-12;2025-01;2025-02;2025-03;2025-11
Honduras,84,9.3,2020-06;2020-08;2021-07;2021-09;2021-11;2022-05;2022-12;2023-03;2023-08;2023-09;2024-02;2024-05;2024-11;2025-03;2025-05;2025-08;2025-09;2025-10;2025-12
Hong Kong,9,6.8,2020-03;2020-04;2020-05;2021-10;2022-03;2022-05;2022-08;2022-12;2023-01;2023-02;2023-03;2023-04;2023-06;2023-07;2023-09;2023-10;2023-11;2023-12;2024-02;2024-03;2024-04;2024-05;2024-06;2024-08;2026-01;2026-02;2026-03
Hong Kong,10,10.0,2020-01;2021-07;2021-09;2022-08
Hong Kong,11,9.6,2020-04;2020-05;2020-12;2021-03;2021-06;2021-09;2021-10;2021-11;2022-02;2022-04;2022-10;2022-11;2023-01;2023-02;2023-06;2023-12;2024-05
Hong Kong,17,5.8,2020-01;2020-02;2020-04;2020-06;2020-07;2022-02;2022-06;2022-08;2022-10;2022-12;2023-02;2023-05;2023-09;2024-01
Hong Kong,26,8.8,2020-12;2021-02;2021-08;2021-11;2022-01;2022-04;2022-06;2022-07;2022-08;2022-10;2022-12;2023-01;2023-03;2023-04;2023-05;2023-06;2023-09;2023-12;2024-12
Hong Kong,27,5.3,2020-02;2020-10;2020-11;2020-12;2021-01;2021-10;2021-11;2022-03;2022-04;2022-06;2022-07;2023-08;2023-09;2024-06;2025-05;2025-09
Hong Kong,31,10.0,2020-04;2022-04;2022-06;2022-11;2022-12;2023-01;2023-02;2023-08;2025-02;2025-09;2025-10;2025-12
Hong Kong,39,5.8,2020-02;2020-04;2020-05;2021-10;2022-06;2022-08;2022-09;2022-11;2022-12;2023-03;2023-04;2023-06;2023-07;2023-08;2024-01;2024-02;2024-08;2024-09;2024-10;2024-12;2025-03;2025-04;2025-05;2025-06;2025-07;2025-11;2026-01;2026-03
Hong Kong,44,7.1,2020-02;2020-05;2020-06;2020-07;2020-09;2020-10;2020-12;2021-01;2021-03;2021-04;2021-08;2021-09;2021-10;2021-11;2021-12;2022-01;2022-02;2022-04;2022-05;2022-06;2022-07;2022-08;2023-01;2023-04;2023-10;2023-11;2024-03;2024-09;2025-02;2025-04;2025-05;2025-06;2025-08
Hong Kong,72,7.9,2020-01;2020-03;2020-04;2020-05;2020-08;2020-09;2020-10;2020-11;2021-01;2021-02;2021-03;2022-07;2022-08;2022-09;2022-11;2023-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-10;2023-12;2025-01;2025-02;2025-03;2025-08;2025-10
Hong Kong,76,4.1,2021-04;2022-06;2022-07;2022-09;2022-10;2022-11;2023-01;2023-08;2024-10
Hong Kong,84,5.2,2020-11;2020-12;2022-04;2022-07;2022-11;2023-02;2023-05;2023-06;2023-08;2023-12;2024-01;2024-05;2024-09;2024-10;2024-12;2025-01;2025-07
Hong Kong,93,10.0,2020-07;2021-05;2021-06;2022-04;2022-12;2023-07;2025-04;2025-08;2025-12
Hungary,9,9.7,2020-04;2020-05;2021-08;2021-09;2021-12;2022-03;2022-09;2023-01;2023-02;2023-10;2024-03;2024-12;2025-03;2025-10
Hungary,10,10.0,2020-01;2021-07;2021-08;2022-03;2022-04;2022-05;2022-06;2022-09;2023-07;2023-08;2024-10;2024-11;2024-12;2025-01;2025-02;2026-02
Hungary,11,6.2,2020-08;2021-03;2021-09;2021-10;2023-03;2023-04;2023-06;2023-08;2023-09;2023-10;2023-11;2023-12;2024-01;2024-02;2024-05;2025-11;2025-12;2026-02;2026-03
Hungary,17,7.4,2020-01;2020-02;2020-03;2020-04;2020-05;2020-07;2021-08;2021-09;2021-11;2022-12;2023-05;2023-07;2023-10;2024-03;2024-04;2024-06;2024-08;2024-11;2025-01;2025-02;2025-07;2025-09;2025-11;2025-12;2026-02
Hungary,27,9.6,2020-04;2020-06;2020-12;2021-10;2022-04;2022-05;2022-07;2022-09;2022-11;2023-08;2023-10;2023-11;2024-05;2024-08;2025-04;2025-09
Hungary,39,6.0,2021-11;2021-12;2022-01;2022-02;2022-03;2022-04;2022-05;2022-06;2022-07;2022-09;2022-10;2022-11;2023-03;2024-09;2024-11;2024-12;2025-01;2025-02;2025-03;2025-06;2025-07
Hungary,44,4.6,2024-01;2024-09;2024-11;2025-04;2025-06;2025-07;2025-08;2025-10;2025-12;2026-02
Hungary,72,9.7,2020-01;2020-03;2020-04;2020-05;2020-06;2020-07;2020-08;2020-09;2020-10;2020-11;2020-12;2021-01;2021-02;2021-05;2021-06;2021-12;2022-01;2022-06;2022-10;2023-09;2024-08;2024-10;2024-11;2024-12;2025-01;2025-02;2025-05;2025-06;2025-11
Hungary,76,8.1,2022-02;2022-03;2022-04;2022-05;2022-06;2022-07;2022-08;2022-09;2022-10;2022-11;2022-12;2023-01;2023-02;2023-04;2023-06;2024-03;2024-05;2024-06;2024-07;2024-08;2024-09;2024-10;2024-12;2025-02;2025-04;2025-05;2025-12;2026-01
Hungary,84,3.4,2020-02;2020-03;2020-04;2021-01;2022-03;2025-12
Iceland,39,8.5,2020-01;2020-02;2020-03;2021-02;2021-05;2021-07;2022-02;2022-08;2022-12;2023-01;2023-03;2023-06;2023-08;2023-09;2023-10;2024-02;2024-04;2024-07;2025-01;2025-09;2025-11;2025-12;2026-03
Iceland,76,9.8,2020-04;2020-06;2020-07;2021-02;2021-08;2021-09;2021-10;2021-12;2022-05;2023-03;2023-12;2024-01;2025-01;2025-02;2025-04
Iceland,84,6.5,2020-02;2020-03;2020-11;2021-02;2021-04;2021-07;2021-11;2022-01;2022-06;2024-01;2024-02;2024-03;2024-05;2024-06;2024-09;2024-12;2025-10;2025-11
India,9,3.7,2020-01;2021-03;2021-09;2023-12;2025-04
India,10,8.0,2020-01;2020-02;2020-03;2020-05;2020-12;2021-04;2021-11;2022-01;2023-02;2023-03;2023-04;2023-05;2023-06;2023-07;2023-08;2023-09;2023-10;2023-11;2023-12;2024-01;2024-02;2024-03;2024-04;2024-06;2024-07;2026-03
India,11,3.8,2022-01;2024-11;2025-03;2025-08
India,17,7.0,2021-09;2021-11;2021-12;2022-01;2022-02;2022-05;2022-06;2022-08;2022-09;2023-02;2023-05;2023-07;2023-09;2023-10;2024-03;2024-04;2024-05;2024-06;2024-11;2024-12;2025-01;2025-02;2025-03;2025-04;2025-08;2025-09;2025-10;2025-11;2026-01;2026-02
India,26,8.1,2020-01;2020-02;2020-05;2020-06;2020-07;2020-10;2021-03;2021-05;2021-10;2021-12;2022-01;2022-02;2022-03;2022-04;2022-06;2022-07;2022-08;2022-09;2022-11;2023-05;2023-12;2024-01;2024-02;2024-04;2024-05;2024-06;2024-08;2024-12;2025-01;2025-03;2025-05;2025-07;2025-09;2025-10;2025-11
India,27,4.8,2020-06;2020-12;2021-02;2022-10;2023-04;2023-05;2023-06;2023-07;2024-03;2024-05;2024-09;2025-11;2025-12;2026-02
India,31,7.5,2020-01;2020-02;2020-03;2020-05;2020-06;2020-07;2020-09;2021-02;2021-04;2021-06;2021-08;2021-10;2022-04;2022-07;2022-09;2022-10;2022-11;2022-12;2023-01;2023-05;2023-06;2023-08;2023-11;2024-02;2024-07;2024-08;2025-01;2025-04;2025-05;2025-11;2025-12;2026-02;2026-03
India,39,3.1,2022-03;2022-05;2022-06
India,44,6.8,2020-01;2020-02;2020-03;2020-04;2020-05;2020-06;2020-07;2020-11;2021-07;2021-12;2022-01;2022-02;2022-04;2022-05;2022-08;2022-09;2022-10;2022-11;2022-12;2023-01;2023-03;2023-04;2023-09;2024-02;2024-04;2024-05;2024-09;2024-10;2024-11;2025-01;2025-03;2025-05;2025-06;2025-07;2025-08;2025-12;2026-02;2026-03
India,72,3.8,2020-09;2021-05;2022-07;2022-09;2022-10;2022-11;2022-12;2023-01;2023-02
India,76,3.3,2022-11;2023-01;2023-02;2023-03;2024-08;2024-09
India,84,2.7,2020-05
India,93,10.0,2020-05;2020-06;2021-09;2021-11;2022-01;2022-02;2022-03;2022-12;2023-04;2023-06;2024-08;2024-09
Indonesia,9,4.2,2020-04;2021-02;2021-07;2021-08;2021-09;2021-12;2023-11;2024-01;2024-04;2024-05
Indonesia,10,9.6,2021-01;2021-02;2021-09;2022-03;2022-08;2022-10;2022-11;2023-06;2023-07;2023-10;2024-01;2024-02;2024-03;2024-04;2024-08;2025-04;2025-11;2025-12;2026-02
